GSS_CODE,score
E05000405,0.000489932
E05000414,0.000479323
E05000401,0.000476528
E05000400,0.000495717
E05000402,0.000503753
E05000406,0.000507448
E05000404,0.000478776
E05000413,0.000477812
E05000410,0.000495469
E05000412,0.000471098
E05000408,0.000480722
E05000403,0.00049893
E05000409,0.000493787
E05000407,0.000508617
E05000411,0.000508919
E05000415,0.000496843
E05000150,0.00039851
E05000162,0.000407685
E05000151,0.000424534
E05000167,0.000417905
E05000156,0.000390404
E05000159,0.000428392
E05000160,0.000399729
E05000155,0.000420328
E05000153,0.000445313
E05000149,0.000449606
E05000168,0.000437303
E05000148,0.000459244
E05000158,0.000483558
E05000157,0.000379924
E05000152,0.000415732
E05000154,0.00040576
E05000163,0.000439412
E05000161,0.000451665
E05000147,0.000441374
E05000169,0.000454763
E05000165,0.000468548
E05000166,0.000475882
E05000164,0.000481669
E05000146,0.000437823
E05000117,0.00036729
E05000119,0.000432029
E05000108,0.000411907
E05000110,0.000414129
E05000107,0.00038019
E05000127,0.000428779
E05000112,0.000461011
E05000120,0.000442688
E05000118,0.00039985
E05000126,0.000436453
E05000109,0.000421235
E05000106,0.000441414
E05000124,0.000401594
E05000116,0.000480701
E05000123,0.000483083
E05000113,0.00045902
E05000125,0.000422249
E05000111,0.000444602
E05000121,0.000470789
E05000122,0.000425354
E05000115,0.000411013
E05000114,0.0004114
E05000346,0.000437935
E05000353,0.000482358
E05000350,0.000477389
E05000364,0.000474362
E05000357,0.000462197
E05000356,0.000474155
E05000363,0.000499272
E05000347,0.000554051
E05000348,0.000560187
E05000352,0.000463206
E05000354,0.000474767
E05000351,0.000465053
E05000359,0.000441836
E05000361,0.000465895
E05000355,0.000481172
E05000360,0.000483445
E05000362,0.000525942
E05000358,0.000484956
E05000349,0.000554628
E05000365,0.000558476
E05000186,0.000494092
E05000190,0.000469462
E05000185,0.00050246
E05000172,0.000482229
E05000177,0.000481744
E05000183,0.000486872
E05000182,0.000528938
E05000175,0.000557907
E05000189,0.00045232
E05000176,0.000497525
E05000192,0.000509013
E05000181,0.000470586
E05000184,0.000473915
E05000180,0.000489742
E05000171,0.000522529
E05000178,0.000499029
E05000187,0.000535573
E05000174,0.000551091
E05000173,0.000527433
E05000188,0.000552118
E05000191,0.000540224
E05000170,0.000552493
E05000179,0.000568137
E05000323,0.000378832
E05000318,0.000434229
E05000321,0.000440053
E05000308,0.000409473
E05000306,0.000403903
E05000319,0.000387961
E05000316,0.000406212
E05000317,0.000399386
E05000311,0.000390659
E05000320,0.000382508
E05000309,0.00037305
E05000322,0.00038038
E05000312,0.000385918
E05000307,0.000375593
E05000313,0.000358634
E05000314,0.000380021
E05000310,0.000356536
E05000315,0.000376825
E05000331,0.000436787
E05000330,0.000396916
E05000342,0.000446676
E05000345,0.000439373
E05000341,0.000422345
E05000326,0.000443733
E05000340,0.000450417
E05000332,0.000439059
E05000333,0.000461945
E05000343,0.000414487
E05000335,0.00037631
E05000338,0.000480442
E05000334,0.000438826
E05000329,0.000393707
E05000336,0.000374789
E05000337,0.00046015
E05000325,0.000446699
E05000328,0.000440899
E05000339,0.000469822
E05000324,0.000467792
E05000344,0.000486551
E05000327,0.000427274
E05000302,0.000450408
E05000289,0.000451656
E05000297,0.000363073
E05000298,0.000374904
E05000288,0.000426103
E05000292,0.000379337
E05000296,0.000405408
E05000290,0.000376764
E05000303,0.000386017
E05000286,0.000413817
E05000300,0.000394349
E05000301,0.000427269
E05000305,0.000419715
E05000291,0.000367918
E05000293,0.000394457
E05000295,0.000420805
E05000304,0.000400222
E05000285,0.000410664
E05000294,0.000444995
E05000299,0.000428768
E05000287,0.000443239
E05000096,0.00045936
E05000104,0.000498185
E05000097,0.000472938
E05000100,0.000546228
E05000103,0.000515538
E05000086,0.000476605
E05000090,0.000474353
E05000101,0.000477201
E05000085,0.000523949
E05000092,0.000524251
E05000091,0.000514738
E05000105,0.000513127
E05000098,0.000499755
E05000087,0.000506594
E05000094,0.00050588
E05000102,0.000526503
E05000093,0.000455944
E05000089,0.000510473
E05000088,0.00053373
E05000095,0.000514923
E05000099,0.000456515
E05000060,0.000433101
E05000056,0.000418613
E05000062,0.000528939
E05000053,0.000544363
E05000046,0.000488277
E05000045,0.000536402
E05000052,0.000528456
E05000051,0.000541328
E05000049,0.000539485
E05000050,0.000447306
E05000057,0.000487812
E05000054,0.000461969
E05000059,0.000458158
E05000058,0.000463871
E05000063,0.000523594
E05000047,0.00052447
E05000043,0.000488828
E05000048,0.000459803
E05000044,0.000466628
E05000055,0.000528386
E05000061,0.000499901
E05000431,0.000490621
E05000428,0.000510411
E05000432,0.000518028
E05000424,0.000508418
E05000433,0.000562562
E05000430,0.000538906
E05000418,0.000578811
E05000417,0.000544089
E05000435,0.000507702
E05000420,0.000554033
E05000421,0.000559278
E05000425,0.000583854
E05000426,0.000567149
E05000436,0.000565179
E05000422,0.000510596
E05000434,0.000545581
E05000423,0.000542042
E05000416,0.000591644
E05000419,0.000584535
E05000429,0.000587251
E05000427,0.000587879
E05000538,0.00049972
E05000548,0.000556183
E05000554,0.000540862
E05000551,0.000517778
E05000539,0.000529888
E05000547,0.000527791
E05000535,0.000550303
E05000534,0.000560747
E05000553,0.00052175
E05000545,0.000535153
E05000546,0.000543605
E05000544,0.000565617
E05000541,0.000557194
E05000540,0.000563135
E05000543,0.000542667
E05000550,0.00055181
E05000536,0.000584438
E05000542,0.000562318
E05000549,0.000513191
E05000552,0.000511862
E05000537,0.000568072
E05000437,0.000496888
E05000453,0.000527486
E05000442,0.000473647
E05000454,0.000474894
E05000438,0.000494902
E05000452,0.000510528
E05000444,0.000538579
E05000450,0.000517602
E05000451,0.000490173
E05000440,0.00050337
E05000441,0.000514917
E05000446,0.000511316
E05000448,0.000507747
E05000439,0.000522009
E05000449,0.000514224
E05000445,0.000479799
E05000447,0.00049861
E05000443,0.00050755
E05000224,0.000497869
E05000217,0.000461182
E05000219,0.000436626
E05000227,0.000454521
E05000225,0.000487088
E05000230,0.000455789
E05000222,0.00049077
E05000220,0.000506881
E05000215,0.000509307
E05000223,0.000475965
E05000218,0.000473938
E05000216,0.000476738
E05000229,0.000465998
E05000226,0.000371771
E05000221,0.000405818
E05000228,0.000376006
E05000214,0.000374944
E05000078,0.000433321
E05000066,0.00043404
E05000072,0.000433243
E05000083,0.000418936
E05000081,0.000439949
E05000071,0.000425123
E05000079,0.000370429
E05000075,0.000367669
E05000065,0.000358298
E05000084,0.000361423
E05000076,0.000431523
E05000074,0.000432103
E05000067,0.000464865
E05000073,0.000449761
E05000069,0.00043883
E05000082,0.00040586
E05000068,0.000410529
E05000080,0.000375699
E05000064,0.000409952
E05000070,0.000388643
E05000077,0.000373418
E05000195,0.000382672
E05000213,0.000496643
E05000196,0.000443116
E05000202,0.000432966
E05000212,0.000513685
E05000205,0.000523361
E05000197,0.000502451
E05000204,0.000491896
E05000200,0.000451144
E05000203,0.000469294
E05000206,0.000475189
E05000198,0.000383467
E05000193,0.000545593
E05000209,0.000541699
E05000208,0.000497428
E05000201,0.000507343
E05000194,0.000483324
E05000210,0.000401908
E05000207,0.000432602
E05000211,0.000399433
E05000199,0.000380514
E05000604,0.000484477
E05000599,0.000451452
E05000600,0.000500523
E05000607,0.000515644
E05000593,0.000435813
E05000591,0.000470968
E05000603,0.000463486
E05000606,0.000468983
E05000596,0.000447294
E05000595,0.000500414
E05000608,0.000482045
E05000601,0.000472764
E05000609,0.000500028
E05000592,0.000510765
E05000597,0.000502346
E05000590,0.000472302
E05000602,0.000480008
