GSS_CODE,score
E05000405,0.002389361
E05000414,0.002749495
E05000401,0.002388133
E05000400,0.003305698
E05000402,0.002990323
E05000406,0.002734282
E05000404,0.002306261
E05000413,0.002360984
E05000410,0.003343396
E05000412,0.002123354
E05000408,0.002017666
E05000403,0.001949408
E05000409,0.002514638
E05000407,0.002810112
E05000411,0.003287456
E05000415,0.001706562
E05000150,0.004243868
E05000162,0.007583685
E05000151,0.005419668
E05000167,0.007118275
E05000156,0.005220514
E05000159,0.006625344
E05000160,0.006609034
E05000155,0.007886811
E05000153,0.008254472
E05000149,0.006592139
E05000168,0.004556387
E05000148,0.004799708
E05000158,0.003545779
E05000157,0.006709381
E05000152,0.007499288
E05000154,0.007686733
E05000163,0.007418352
E05000161,0.005557364
E05000147,0.00695768
E05000169,0.006369829
E05000165,0.003947397
E05000166,0.003488389
E05000164,0.00506253
E05000146,0.00674511
E05000117,0.004292476
E05000119,0.006980668
E05000108,0.005247797
E05000110,0.002865655
E05000107,0.005822227
E05000127,0.007099724
E05000112,0.005445142
E05000120,0.006086134
E05000118,0.004354866
E05000126,0.005643256
E05000109,0.003963108
E05000106,0.004048013
E05000124,0.003104009
E05000116,0.004218783
E05000123,0.004118722
E05000113,0.004649915
E05000125,0.002548632
E05000111,0.002993864
E05000121,0.002250472
E05000122,0.003140776
E05000115,0.00174864
E05000114,0.001466632
E05000346,0.00111792
E05000353,0.001403672
E05000350,0.00226767
E05000364,0.001670317
E05000357,0.002021331
E05000356,0.002188413
E05000363,0.002569741
E05000347,0.004214661
E05000348,0.003302655
E05000352,0.001226251
E05000354,0.001308748
E05000351,0.001816998
E05000359,0.00131584
E05000361,0.001882354
E05000355,0.002232376
E05000360,0.001501677
E05000362,0.002404009
E05000358,0.002062293
E05000349,0.003779278
E05000365,0.004135267
E05000186,0.002829434
E05000190,0.002496508
E05000185,0.004180053
E05000172,0.003390803
E05000177,0.003992686
E05000183,0.004968535
E05000182,0.003978038
E05000175,0.005880427
E05000189,0.002455358
E05000176,0.003450505
E05000192,0.00362629
E05000181,0.003354026
E05000184,0.003817733
E05000180,0.004228099
E05000171,0.005344339
E05000178,0.004902635
E05000187,0.006042442
E05000174,0.005129969
E05000173,0.005005581
E05000188,0.004554246
E05000191,0.003768528
E05000170,0.005290461
E05000179,0.007019394
E05000323,0.001116983
E05000318,0.002072802
E05000321,0.002255609
E05000308,0.001852729
E05000306,0.001515749
E05000319,0.001351597
E05000316,0.00144201
E05000317,0.001311599
E05000311,0.001526779
E05000320,0.001449017
E05000309,0.001073254
E05000322,0.001156704
E05000312,0.000870976
E05000307,0.000874447
E05000313,0.000665402
E05000314,0.000948062
E05000310,0.000546272
E05000315,0.001480422
E05000331,0.001403764
E05000330,0.002104119
E05000342,0.001686723
E05000345,0.001581694
E05000341,0.001713691
E05000326,0.001874304
E05000340,0.002667683
E05000332,0.002445045
E05000333,0.003265421
E05000343,0.003101166
E05000335,0.002836669
E05000338,0.004178208
E05000334,0.003528242
E05000329,0.003617003
E05000336,0.003604991
E05000337,0.001996348
E05000325,0.001747823
E05000328,0.002329563
E05000339,0.002594298
E05000324,0.002654881
E05000344,0.003179999
E05000327,0.003737663
E05000302,0.004655887
E05000289,0.005555686
E05000297,0.004322184
E05000298,0.004010176
E05000288,0.005471598
E05000292,0.004670173
E05000296,0.005936855
E05000290,0.005271187
E05000303,0.006130244
E05000286,0.006748318
E05000300,0.003958297
E05000301,0.004403873
E05000305,0.004907603
E05000291,0.004850361
E05000293,0.004920686
E05000295,0.006175842
E05000304,0.005724374
E05000285,0.006783897
E05000294,0.007014551
E05000299,0.007117235
E05000287,0.007623853
E05000096,0.005382612
E05000104,0.004955542
E05000097,0.005961706
E05000100,0.006903746
E05000103,0.006914156
E05000086,0.006049262
E05000090,0.006912988
E05000101,0.004890878
E05000085,0.005373047
E05000092,0.004911328
E05000091,0.005181039
E05000105,0.005561225
E05000098,0.004000295
E05000087,0.00462272
E05000094,0.004045177
E05000102,0.006003458
E05000093,0.006550626
E05000089,0.005944212
E05000088,0.007091352
E05000095,0.005833324
E05000099,0.007526635
E05000060,0.005255213
E05000056,0.004604519
E05000062,0.007880091
E05000053,0.007708577
E05000046,0.00737079
E05000045,0.007267819
E05000052,0.006602904
E05000051,0.007895793
E05000049,0.007195482
E05000050,0.007159597
E05000057,0.007752344
