GSS_CODE,score
E05000405,0.002880016
E05000414,0.003076507
E05000401,0.002611426
E05000400,0.003517558
E05000402,0.003167479
E05000406,0.002503802
E05000404,0.002611426
E05000413,0.002611426
E05000410,0.003167479
E05000412,0.002213202
E05000408,0.002213202
E05000403,0.002230238
E05000409,0.002230238
E05000407,0.002831215
E05000411,0.003517558
E05000415,0.002001598
E05000150,0.003068449
E05000162,0.003068449
E05000151,0.003068449
E05000167,0.003068449
E05000156,0.003068449
E05000159,0.003068449
E05000160,0.003068449
E05000155,0.003068449
E05000153,0.003068449
E05000149,0.003068449
E05000168,0.003183453
E05000148,0.00329709
E05000158,0.003359049
E05000157,0.003068449
E05000152,0.003068449
E05000154,0.003068449
E05000163,0.003068449
E05000161,0.00329709
E05000147,0.003068449
E05000169,0.00329709
E05000165,0.003359049
E05000166,0.003359049
E05000164,0.00343103
E05000146,0.003068449
E05000117,0.00288204
E05000119,0.003428948
E05000108,0.00295402
E05000110,0.003143749
E05000107,0.00288204
E05000127,0.003428948
E05000112,0.003369071
E05000120,0.00314043
E05000118,0.00288204
E05000126,0.002855231
E05000109,0.002593522
E05000106,0.003370372
E05000124,0.00321573
E05000116,0.00343103
E05000123,0.00343103
E05000113,0.003083872
E05000125,0.003370372
E05000111,0.003484009
E05000121,0.003422455
E05000122,0.00321573
E05000115,0.002558443
E05000114,0.002558443
E05000346,0.00251122
E05000353,0.002835268
E05000350,0.003472887
E05000364,0.002626223
E05000357,0.003472887
E05000356,0.0028162
E05000363,0.003791901
E05000347,0.00441561
E05000348,0.004427803
E05000352,0.00202334
E05000354,0.00202334
E05000351,0.002626223
E05000359,0.00251122
E05000361,0.002626223
E05000355,0.003472887
E05000360,0.002626223
E05000362,0.003586524
E05000358,0.0028162
E05000349,0.00441561
E05000365,0.00441561
E05000186,0.004082922
E05000190,0.003678264
E05000185,0.003882805
E05000172,0.003595802
E05000177,0.003595802
E05000183,0.003868702
E05000182,0.00441561
E05000175,0.004642233
E05000189,0.003016353
E05000176,0.004196559
E05000192,0.004256348
E05000181,0.003595802
E05000184,0.003595802
E05000180,0.003882805
E05000171,0.00441561
E05000178,0.003868702
E05000187,0.00467732
E05000174,0.00441561
E05000173,0.00441561
E05000188,0.00441561
E05000191,0.00441561
E05000170,0.004642233
E05000179,0.004877049
E05000323,0.001952933
E05000318,0.002494535
E05000321,0.002494535
E05000308,0.001918219
E05000306,0.001530316
E05000319,0.001530316
E05000316,0.001754472
E05000317,0.001530316
E05000311,0.001597839
E05000320,0.001438576
E05000309,0.001324939
E05000322,0.001530316
E05000312,0.001839296
E05000307,0.001839296
E05000313,0.001530316
E05000314,0.001530316
E05000310,0.001170297
E05000315,0.001530316
E05000331,0.002943751
E05000330,0.002810976
E05000342,0.002366318
E05000345,0.002366318
E05000341,0.003303356
E05000326,0.003303356
E05000340,0.003882805
E05000332,0.003767802
E05000333,0.003882805
E05000343,0.003519947
E05000335,0.002954393
E05000338,0.003882805
E05000334,0.003595802
E05000329,0.003016353
E05000336,0.002954393
E05000337,0.003212982
E05000325,0.003212982
E05000328,0.003421011
E05000339,0.003823017
E05000324,0.003823017
E05000344,0.003882805
E05000327,0.003421011
E05000302,0.003595802
E05000289,0.003595802
E05000297,0.003230773
E05000298,0.002954393
E05000288,0.003480799
E05000292,0.003230773
E05000296,0.003480799
E05000290,0.003230773
E05000303,0.00341884
E05000286,0.003742509
E05000300,0.003016353
E05000301,0.003480799
E05000305,0.003292732
E05000291,0.003230773
E05000293,0.003292732
E05000295,0.003480799
E05000304,0.003292732
E05000285,0.00341884
E05000294,0.003742509
E05000299,0.003480799
E05000287,0.003942237
E05000096,0.003595802
E05000104,0.003709439
E05000097,0.003857512
E05000100,0.004877049
E05000103,0.004216503
E05000086,0.003942237
E05000090,0.004057241
E05000101,0.003595802
E05000085,0.00467732
E05000092,0.004642233
E05000091,0.00467732
E05000105,0.004590046
E05000098,0.004095325
E05000087,0.004544959
E05000094,0.004095325
E05000102,0.004617143
E05000093,0.003742509
E05000089,0.00433014
E05000088,0.00433014
E05000095,0.004484782
E05000099,0.003742509
E05000060,0.003942237
E05000056,0.003613853
E05000062,0.00433014
E05000053,0.004556763
E05000046,0.004216503
E05000045,0.004556763
E05000052,0.004917262
E05000051,0.004917262
E05000049,0.004917262
E05000050,0.003942237
E05000057,0.004216503
E05000054,0.003942237
E05000059,0.004302736
E05000058,0.004240777
E05000063,0.004730277
E05000047,0.004845281
E05000043,0.004529359
E05000048,0.003974351
E05000044,0.004057241
E05000055,0.004845281
E05000061,0.004575635
E05000431,0.003378578
E05000428,0.003609821
E05000432,0.003609821
E05000424,0.003609821
E05000433,0.00470378
E05000430,0.004359161
E05000418,0.00470378
E05000417,0.00470378
E05000435,0.003797888
E05000420,0.004142507
E05000421,0.002767667
E05000425,0.004189423
E05000426,0.003029377
E05000436,0.003639204
E05000422,0.003609821
E05000434,0.00395253
E05000423,0.004142507
E05000416,0.003595252
E05000419,0.004189423
E05000429,0.003029377
E05000427,0.003389875
E05000538,0.003590292
E05000548,0.003052649
E05000554,0.00395253
E05000551,0.003115308
E05000539,0.004555209
E05000547,0.004268206
E05000535,0.003459714
E05000534,0.00343843
E05000553,0.003475806
E05000545,0.003456278
E05000546,0.002281694
E05000544,0.003389875
E05000541,0.003123449
E05000540,0.003036175
E05000543,0.002541211
E05000550,0.002757802
E05000536,0.003269341
E05000542,0.003052649
E05000549,0.002548296
E05000552,0.002548296
E05000537,0.003036175
E05000437,0.003920877
E05000453,0.003396101
E05000442,0.003599012
E05000454,0.003599012
E05000438,0.003484414
E05000452,0.003744934
E05000444,0.004006644
E05000450,0.004080139
E05000451,0.003820234
E05000440,0.003958004
E05000441,0.004080139
E05000446,0.003196372
E05000448,0.003208034
E05000439,0.003396101
E05000449,0.002884561
E05000445,0.00411938
E05000447,0.003484414
E05000443,0.002548296
E05000224,0.003689791
E05000217,0.003146075
E05000219,0.003031072
E05000227,0.003484414
E05000225,0.003877858
E05000230,0.003210851
E05000222,0.002696494
E05000220,0.003877858
E05000215,0.003877858
E05000223,0.003689791
E05000218,0.003484414
E05000216,0.003689791
E05000229,0.003484414
E05000226,0.001106846
E05000221,0.002021891
E05000228,0.001220483
E05000214,0.001621202
E05000078,0.00267208
E05000066,0.003031072
E05000072,0.003031072
E05000083,0.003031072
E05000081,0.003031072
E05000071,0.00267208
E05000079,0.001621202
E05000075,0.001621202
E05000065,0.000848831
E05000084,0.000848831
E05000076,0.003031072
E05000074,0.003146075
E05000067,0.003484414
E05000073,0.003205864
E05000069,0.003031072
E05000082,0.002831343
E05000068,0.00267208
E05000080,0.001621202
E05000064,0.00267208
E05000070,0.001948615
E05000077,0.001621202
E05000195,0.00312183
E05000213,0.004200974
E05000196,0.003974351
E05000202,0.003778915
E05000212,0.004473873
E05000205,0.004740299
E05000197,0.004123795
E05000204,0.003964533
E05000200,0.003831367
E05000203,0.003831367
E05000206,0.003945004
E05000198,0.003003834
E05000193,0.004802258
E05000209,0.004688621
E05000208,0.0044674
E05000201,0.004473873
E05000194,0.004200974
E05000210,0.00312183
E05000207,0.003831367
E05000211,0.003276472
E05000199,0.002931853
