GSS_CODE,score
E05000405,0.001124376
E05000414,0.001266632
E05000401,0.001056036
E05000400,0.001583036
E05000402,0.001523254
E05000406,0.001423263
E05000404,0.000945416
E05000413,0.001029767
E05000410,0.00156061
E05000412,0.000852768
E05000408,0.000776225
E05000403,0.0007452
E05000409,0.001187838
E05000407,0.001464572
E05000411,0.001763489
E05000415,0.00052087
E05000150,0.000462348
E05000162,0.000417731
E05000151,0.000738388
E05000167,0.000816176
E05000156,0.00034283
E05000159,0.000708315
E05000160,0.000367834
E05000155,0.00039991
E05000153,0.000833933
E05000149,0.001121036
E05000168,0.00104554
E05000148,0.001277814
E05000158,0.001782141
E05000157,0.000183572
E05000152,0.000618102
E05000154,0.00030903
E05000163,0.000503375
E05000161,0.000956837
E05000147,0.000639264
E05000169,0.000804094
E05000165,0.001244162
E05000166,0.00143691
E05000164,0.00122773
E05000146,0.000695509
E05000117,7.90E-05
E05000119,0.000334629
E05000108,0.000222313
E05000110,9.38E-05
E05000107,0.000126966
E05000127,0.000415732
E05000112,0.000804101
E05000120,0.000532271
E05000118,0.000146586
E05000126,0.000431173
E05000109,0.000367713
E05000106,0.000360998
E05000124,0.000167229
E05000116,0.001181593
E05000123,0.000998514
E05000113,0.000692071
E05000125,0.000341669
E05000111,0.000332961
E05000121,0.000558146
E05000122,0.000148921
E05000115,0.000212164
E05000114,0.000163635
E05000346,0.000653779
E05000353,0.001130455
E05000350,0.000730472
E05000364,0.000349589
E05000357,0.000767227
E05000356,0.000527659
E05000363,0.000544148
E05000347,0.001218744
E05000348,0.001329618
E05000352,0.000842901
E05000354,0.0009806
E05000351,0.000642466
E05000359,0.00039334
E05000361,0.000475999
E05000355,0.000516993
E05000360,0.000548619
E05000362,0.00088146
E05000358,0.000482535
E05000349,0.001202623
E05000365,0.001397912
E05000186,0.000508772
E05000190,0.000667349
E05000185,0.000902311
E05000172,0.0005318
E05000177,0.000716842
E05000183,0.000746067
E05000182,0.000814604
E05000175,0.001942308
E05000189,0.000507648
E05000176,0.000530251
E05000192,0.000613116
E05000181,0.000523607
E05000184,0.000645378
E05000180,0.000617427
E05000171,0.000925725
E05000178,0.000872771
E05000187,0.001276726
E05000174,0.001102107
E05000173,0.000875512
E05000188,0.001320791
E05000191,0.001323134
E05000170,0.001496004
E05000179,0.001413102
E05000323,0.000727051
E05000318,0.001091126
E05000321,0.001377491
E05000308,0.001523366
E05000306,0.001694021
E05000319,0.001635623
E05000316,0.001495248
E05000317,0.001511182
E05000311,0.001260282
E05000320,0.001407697
E05000309,0.001218226
E05000322,0.001460564
E05000312,0.001068161
E05000307,0.000947335
E05000313,0.001008833
E05000314,0.001201395
E05000310,0.000855125
E05000315,0.001632181
E05000331,0.000858322
E05000330,0.00031363
E05000342,0.000781759
E05000345,0.000707932
E05000341,0.000447793
E05000326,0.000634269
E05000340,0.000684166
E05000332,0.000570713
E05000333,0.000828474
E05000343,0.000472313
E05000335,0.000229063
E05000338,0.000802942
E05000334,0.000473971
E05000329,0.000309149
E05000336,0.000198363
E05000337,0.000855287
E05000325,0.000694118
E05000328,0.000485761
E05000339,0.000633744
E05000324,0.000605426
E05000344,0.000758863
E05000327,0.000405023
E05000302,0.000474385
E05000289,0.000425146
E05000297,0.00013315
E05000298,0.000200893
E05000288,0.000308965
E05000292,0.000150003
E05000296,0.0002432
E05000290,0.00015291
E05000303,0.000221793
E05000286,0.000380465
E05000300,0.000233654
E05000301,0.000376633
E05000305,0.000294762
E05000291,0.00013706
E05000293,0.00019524
E05000295,0.000327577
E05000304,0.000190356
E05000285,0.000284347
E05000294,0.000476164
E05000299,0.000386507
E05000287,0.000527054
E05000096,0.000467721
E05000104,0.000716042
E05000097,0.000599483
E05000100,0.00126112
E05000103,0.001057464
E05000086,0.000690417
E05000090,0.0007341
E05000101,0.000566059
E05000085,0.000971614
E05000092,0.001738532
E05000091,0.001322597
E05000105,0.00144972
E05000098,0.001762467
E05000087,0.001725696
E05000094,0.002240932
E05000102,0.001028901
E05000093,0.000513962
E05000089,0.001165407
E05000088,0.001256949
E05000095,0.001609055
E05000099,0.000623195
E05000060,0.000378027
E05000056,0.000303215
E05000062,0.001350802
E05000053,0.001847669
E05000046,0.000974055
E05000045,0.001966292
E05000052,0.001947493
E05000051,0.001516472
E05000049,0.001875763
E05000050,0.000589082
E05000057,0.00091103
E05000054,0.000693884
E05000059,0.000529806
E05000058,0.00061995
E05000063,0.001278188
E05000047,0.00123364
E05000043,0.000782466
E05000048,0.000557671
E05000044,0.000769577
E05000055,0.001381339
E05000061,0.000985875
E05000431,0.002147959
E05000428,0.002364835
E05000432,0.002407665
E05000424,0.002148434
E05000433,0.003056446
E05000430,0.0026072
E05000418,0.003314957
E05000417,0.002562601
E05000435,0.001834476
E05000420,0.00298276
E05000421,0.002824711
E05000425,0.003346459
E05000426,0.00325899
E05000436,0.003107972
E05000422,0.001885679
E05000434,0.002422548
E05000423,0.002629251
E05000416,0.003927467
E05000419,0.003313496
E05000429,0.00353763
E05000427,0.003853728
E05000538,0.001550349
E05000548,0.002398534
E05000554,0.002287853
E05000551,0.002158652
E05000539,0.001992456
E05000547,0.001793136
E05000535,0.002842256
E05000534,0.002852026
E05000553,0.002056043
E05000545,0.002074978
E05000546,0.002453976
E05000544,0.003060462
E05000541,0.002921308
E05000540,0.003001479
E05000543,0.002387613
E05000550,0.002447618
E05000536,0.003568716
E05000542,0.002724229
E05000549,0.001531674
E05000552,0.001585526
E05000537,0.003025052
E05000437,0.000953983
E05000453,0.001903687
E05000442,0.000669619
E05000454,0.000664869
E05000438,0.001089347
E05000452,0.001403126
E05000444,0.001796464
E05000450,0.00128379
E05000451,0.00092014
E05000440,0.0009184
E05000441,0.001382686
E05000446,0.001308128
E05000448,0.001114369
E05000439,0.001566448
E05000449,0.001711844
E05000445,0.000616513
E05000447,0.000880359
E05000443,0.001569383
E05000224,0.00089691
E05000217,0.000445031
E05000219,0.000332269
E05000227,0.000542178
E05000225,0.000986152
E05000230,0.000647296
E05000222,0.001147088
E05000220,0.001069415
E05000215,0.001273609
E05000223,0.000890213
E05000218,0.000634929
E05000216,0.000862033
E05000229,0.000628644
E05000226,0.000132282
E05000221,0.000268242
E05000228,0.00015503
E05000214,0.00013458
E05000078,0.000298343
E05000066,0.000322936
E05000072,0.000290567
E05000083,0.000231027
E05000081,0.000369445
E05000071,0.000339485
E05000079,0.000138925
E05000075,0.000137825
E05000065,0.000113514
E05000084,0.00012132
E05000076,0.000337467
E05000074,0.000360292
E05000067,0.000531455
E05000073,0.000434903
E05000069,0.000375045
E05000082,0.000228007
E05000068,0.00023433
E05000080,0.000141186
E05000064,0.00024921
E05000070,0.000192631
E05000077,0.000133987
E05000195,0.000256717
E05000213,0.000943958
E05000196,0.000468864
E05000202,0.000445902
E05000212,0.001291877
E05000205,0.001232274
E05000197,0.001121348
E05000204,0.001021413
E05000200,0.000645673
E05000203,0.000825887
E05000206,0.0008818
E05000198,0.000320448
E05000193,0.001447384
E05000209,0.001331305
E05000208,0.000863228
E05000201,0.001190475
E05000194,0.000937911
E05000210,0.000378627
E05000207,0.00057681
E05000211,0.000410531
E05000199,0.000311163
E05000604,0.001289501
E05000599,0.000901759
E05000600,0.001214104
E05000607,0.001264456
E05000593,0.000543492
E05000591,0.001062848
E05000603,0.001146374
E05000606,0.001111783
E05000596,0.000753841
E05000595,0.001279883
E05000608,0.001077171
E05000601,0.000905821
E05000609,0.001122041
E05000592,0.001212474
E05000597,0.001180849
E05000590,0.000935068
E05000602,0.000878434
E05000594,0.000858134
E05000598,0.00086895
E05000605,0.001132995
E05000515,0.001096698
E05000502,0.001431966
E05000510,0.001468464
E05000511,0.001576558
E05000503,0.001101669
E05000505,0.001377872
E05000495,0.001374661
E05000497,0.000846346
E05000506,0.001062328
E05000507,0.001159602
E05000501,0.001323481
E05000508,0.001253285
E05000514,0.001225532
E05000512,0.001169149
E05000513,0.001367983
E05000500,0.001307548
E05000499,0.001073388
E05000496,0.001402293
E05000504,0.001204303
E05000498,0.001421915
E05000509,0.000797298
E05000559,0.001034119
E05000560,0.001189257
E05000556,0.00082826
E05000562,0.001854445
E05000571,0.001868767
E05000557,0.001111522
E05000561,0.001457986
E05000572,0.001569701
E05000566,0.001223237
E05000567,0.001351018
E05000564,0.001399144
E05000558,0.001350245
E05000565,0.001857661
E05000563,0.001702531
E05000568,0.001662037
