GSS_CODE,score
E05000405,0.00135638
E05000414,0.001059989
E05000401,0.000511865
E05000400,0.001904206
E05000402,0.001260831
E05000406,0.000873141
E05000404,0.000462666
E05000413,0.000526362
E05000410,0.001455542
E05000412,0.000245016
E05000408,6.47E-05
E05000403,6.28E-05
E05000409,0.000552761
E05000407,0.000978162
E05000411,0.002061211
E05000415,0
E05000150,0.000175686
E05000162,9.31E-05
E05000151,0.000490515
E05000167,0.000546107
E05000156,0.000103411
E05000159,0.000409222
E05000160,8.20E-05
E05000155,4.86E-05
E05000153,0.000449695
E05000149,0.000879174
E05000168,0.000645665
E05000148,0.000719419
E05000158,0.001480703
E05000157,0
E05000152,0.000269966
E05000154,7.46E-06
E05000163,0.000150121
E05000161,0.000286715
E05000147,0.000171234
E05000169,0.000142731
E05000165,0.000518829
E05000166,0.000763045
E05000164,0.000522391
E05000146,0.000201213
E05000117,0
E05000119,5.80E-05
E05000108,6.07E-05
E05000110,0
E05000107,0
E05000127,0.000140574
E05000112,0.000390879
E05000120,0.000266157
E05000118,1.32E-06
E05000126,0.000298075
E05000109,0.000288544
E05000106,0.000265444
E05000124,3.26E-05
E05000116,0.000625275
E05000123,0.000662526
E05000113,0.000547563
E05000125,0.000309166
E05000111,0.000161626
E05000121,0.000398704
E05000122,6.81E-10
E05000115,5.42E-05
E05000114,9.46E-06
E05000346,0.001193484
E05000353,0.002996978
E05000350,0.000941522
E05000364,1.35E-07
E05000357,0.001034639
E05000356,0.000126222
E05000363,3.61E-05
E05000347,0.000609366
E05000348,0.000781072
E05000352,0.001941035
E05000354,0.002432856
E05000351,0.000789088
E05000359,0.000168137
E05000361,0.000187383
E05000355,5.07E-05
E05000360,0.000369733
E05000362,0.000944111
E05000358,5.63E-05
E05000349,0.000591897
E05000365,0.000783578
E05000186,5.60E-05
E05000190,0.000512312
E05000185,0.000452585
E05000172,0.00011087
E05000177,0.000169612
E05000183,0.000216505
E05000182,0.000254001
E05000175,0.00165861
E05000189,0.000147117
E05000176,0.000102249
E05000192,0.000129782
E05000181,0.00010846
E05000184,0.000150849
E05000180,0.000158291
E05000171,0.000287179
E05000178,0.00025635
E05000187,0.000574785
E05000174,0.000411657
E05000173,0.000255952
E05000188,0.000679679
E05000191,0.000749891
E05000170,0.000954359
E05000179,0.000758281
E05000323,0.000600912
E05000318,0.001052491
E05000321,0.001653103
E05000308,0.002259842
E05000306,0.002631049
E05000319,0.002611033
E05000316,0.002152288
E05000317,0.002249755
E05000311,0.001774204
E05000320,0.002157567
E05000309,0.001763693
E05000322,0.002292275
E05000312,0.001357756
E05000307,0.001117544
E05000313,0.001291792
E05000314,0.001684531
E05000310,0.000895082
E05000315,0.002662048
E05000331,0.001826165
E05000330,2.06E-05
E05000342,0.001269242
E05000345,0.001037372
E05000341,0.000147218
E05000326,0.000643193
E05000340,0.000542937
E05000332,0.000270351
E05000333,0.000865343
E05000343,0.000171547
E05000335,6.33E-06
E05000338,0.000311766
E05000334,8.87E-05
E05000329,3.52E-05
E05000336,1.21E-05
E05000337,0.001436209
E05000325,0.000895377
E05000328,0.000111297
E05000339,0.000318266
E05000324,0.000233524
E05000344,0.000432187
E05000327,7.40E-05
E05000302,0.000107501
E05000289,9.85E-05
E05000297,0
E05000298,1.26E-05
E05000288,5.26E-05
E05000292,3.04E-06
E05000296,2.22E-05
E05000290,0
E05000303,3.57E-06
E05000286,2.69E-05
E05000300,3.90E-05
E05000301,7.66E-05
E05000305,4.70E-05
E05000291,0
E05000293,1.80E-05
E05000295,5.19E-05
E05000304,1.59E-05
E05000285,3.31E-05
E05000294,0.000138719
E05000299,8.06E-05
E05000287,0.000160313
E05000096,0.000104289
E05000104,0.000244578
E05000097,0.000233805
E05000100,0.000771478
E05000103,0.000690168
E05000086,0.000325711
E05000090,0.000391407
E05000101,0.000155611
E05000085,0.000435491
E05000092,0.001474272
E05000091,0.000827001
E05000105,0.001028879
E05000098,0.001556433
E05000087,0.001542344
E05000094,0.002433694
E05000102,0.000551612
E05000093,0.00017142
E05000089,0.000788103
E05000088,0.000908561
E05000095,0.001416708
E05000099,0.00028904
E05000060,1.75E-05
E05000056,2.16E-06
E05000062,0.001089124
E05000053,0.001885434
E05000046,0.000659072
E05000045,0.002151069
E05000052,0.002161497
E05000051,0.001423182
E05000049,0.002038393
E05000050,0.000189213
E05000057,0.000575389
E05000054,0.000305629
E05000059,0.000115355
E05000058,0.000229237
E05000063,0.001087219
E05000047,0.001036922
E05000043,0.000442628
E05000048,0.000222162
E05000044,0.000428215
E05000055,0.001163162
E05000061,0.000652852
E05000431,0.002212466
E05000428,0.002372239
E05000432,0.002406493
E05000424,0.001936687
E05000433,0.003503047
E05000430,0.002577305
E05000418,0.00404768
E05000417,0.00254032
E05000435,0.001438086
E05000420,0.003478596
E05000421,0.003058182
E05000425,0.004013339
E05000426,0.00391455
E05000436,0.003716383
E05000422,0.001520086
E05000434,0.002391104
E05000423,0.003027108
E05000416,0.005333948
E05000419,0.003954527
E05000429,0.004359202
E05000427,0.005163212
E05000538,0.001238891
E05000548,0.002377248
E05000554,0.002467481
E05000551,0.002637432
E05000539,0.002261612
E05000547,0.001934341
E05000535,0.003461162
E05000534,0.003551797
E05000553,0.002355866
E05000545,0.002390666
E05000546,0.002941128
E05000544,0.003606303
E05000541,0.00364727
E05000540,0.003648578
E05000543,0.002782924
E05000550,0.002725739
E05000536,0.004554088
E05000542,0.003081432
E05000549,0.001118963
E05000552,0.001258442
E05000537,0.003519523
E05000437,0.000850026
E05000453,0.002115932
E05000442,0.00063904
E05000454,0.000651353
E05000438,0.000807721
E05000452,0.00119075
E05000444,0.001736775
E05000450,0.001212458
E05000451,0.000872809
E05000440,0.000844641
E05000441,0.001330156
E05000446,0.001175276
E05000448,0.000991517
E05000439,0.001507893
E05000449,0.001640492
E05000445,0.000506006
E05000447,0.000662995
E05000443,0.001370328
E05000224,0.000638717
E05000217,0.000290005
E05000219,0.000164641
E05000227,0.000215276
E05000225,0.000668332
E05000230,0.000304023
E05000222,0.000856515
E05000220,0.000747387
E05000215,0.0009795
E05000223,0.000568938
E05000218,0.000360772
E05000216,0.0005355
E05000229,0.000296869
E05000226,0
E05000221,3.03E-05
E05000228,0
E05000214,0
E05000078,0.000134938
E05000066,8.87E-05
E05000072,5.96E-05
E05000083,1.96E-05
E05000081,8.59E-05
E05000071,2.62E-05
E05000079,0
E05000075,0
E05000065,0
E05000084,0
E05000076,9.58E-05
E05000074,9.53E-05
E05000067,0.000199009
E05000073,0.000133822
E05000069,8.27E-05
E05000082,1.82E-05
E05000068,2.49E-05
E05000080,0
E05000064,1.80E-05
E05000070,0
E05000077,0
E05000195,7.49E-05
E05000213,0.000791651
E05000196,0.000150959
E05000202,0.000237861
E05000212,0.001125587
E05000205,0.001056042
E05000197,0.000926585
E05000204,0.000861248
E05000200,0.000554806
E05000203,0.000713045
E05000206,0.000788618
E05000198,0.000183043
E05000193,0.001320911
E05000209,0.001166525
E05000208,0.000590853
E05000201,0.001095202
E05000194,0.000859381
E05000210,0.000230921
E05000207,0.000456106
E05000211,0.000255684
E05000199,0.000169792
E05000604,0.001051671
E05000599,0.000727104
E05000600,0.000984198
E05000607,0.000963594
E05000593,0.000334979
E05000591,0.000761218
E05000603,0.00087865
E05000606,0.000960273
E05000596,0.000375177
E05000595,0.000929395
E05000608,0.000909575
E05000601,0.000638018
E05000609,0.000804236
E05000592,0.000884256
E05000597,0.000767637
E05000590,0.000525456
E05000602,0.000581746
E05000594,0.000632063
E05000598,0.000497537
E05000605,0.000761219
E05000515,0.000698326
E05000502,0.001166269
E05000510,0.001433704
E05000511,0.001348532
